model,tweet_index,original_tweet_index,date,error,adwin_estimation,adwin_width,n_detections
arf,106817,111817,2009-05-02 02:01:47,0,0.2976190476190476,1344.0,1
arf,199041,204041,2009-05-10 03:13:06,0,0.32701740506329113,75840.0,1
arf,276737,281737,2009-05-17 10:56:55,0,0.31716867469879517,53120.0,1
arf,285729,290729,2009-05-17 17:08:18,0,0.3418560606060606,1056.0,1
arf,286081,291081,2009-05-17 18:18:19,0,0.3541666666666667,96.0,1
arf,286273,291273,2009-05-17 18:27:17,0,0.015625,128.0,1
arf,286977,291977,2009-05-17 20:28:16,1,0.3203125,128.0,1
arf,287361,292361,2009-05-17 20:43:37,0,0.140625,256.0,1
arf,287713,292713,2009-05-17 21:10:05,0,0.14583333333333334,288.0,1
arf,288161,293161,2009-05-17 21:30:12,0,0.15178571428571427,224.0,1
arf,288641,293641,2009-05-17 22:03:53,0,0.03125,128.0,1
arf,288801,293801,2009-05-17 22:10:56,0,0.21875,128.0,1
arf,288993,293993,2009-05-17 22:31:41,1,0.10625,160.0,1
arf,289313,294313,2009-05-17 22:40:19,0,0.203125,128.0,1
arf,289601,294601,2009-05-17 22:51:53,0,0.0,160.0,1
arf,289921,294921,2009-05-17 23:01:46,1,0.26339285714285715,224.0,1
arf,290177,295177,2009-05-17 23:05:54,0,0.265625,192.0,1
arf,290881,295881,2009-05-17 23:15:53,1,0.4791666666666667,96.0,1
arf,291649,296649,2009-05-17 23:28:43,1,0.371875,640.0,1
arf,293025,298025,2009-05-17 23:50:07,1,0.3694852941176471,544.0,1
arf,314369,319369,2009-05-18 04:50:50,0,0.297828947368421,15200.0,1
arf,333921,338921,2009-05-22 00:20:54,0,0.3111579754601227,5216.0,1
arf,349761,354761,2009-05-22 04:13:42,0,0.3080357142857143,2016.0,1
arf,364417,369417,2009-05-22 07:23:15,1,0.3412878787878788,10560.0,1
arf,396801,401801,2009-05-28 23:25:36,1,0.331483314479638,28288.0,1
arf,408065,413065,2009-05-29 07:38:07,0,0.2838541666666667,3072.0,1
arf,409281,414281,2009-05-29 07:59:05,1,0.36160714285714285,224.0,1
arf,410017,415017,2009-05-29 08:09:47,1,0.26644736842105265,608.0,1
arf,416513,421513,2009-05-29 10:04:45,0,0.25089285714285714,1120.0,1
arf,417921,422921,2009-05-29 10:28:22,0,0.5625,96.0,1
arf,418625,423625,2009-05-29 10:38:31,1,0.3072916666666667,576.0,1
arf,419009,424009,2009-05-29 10:42:41,0,0.34375,320.0,1
arf,424129,429129,2009-05-29 11:59:01,0,0.33154296875,2048.0,1
arf,424993,429993,2009-05-29 12:10:53,0,0.40384615384615385,416.0,1
arf,428961,433961,2009-05-29 13:06:16,0,0.27455357142857145,448.0,1
arf,430241,435241,2009-05-29 13:33:35,1,0.3564453125,1024.0,1
arf,431489,436489,2009-05-29 13:52:16,0,0.2824074074074074,864.0,1
arf,440545,445545,2009-05-29 16:16:36,0,0.3147410358565737,8032.0,1
arf,441921,446921,2009-05-29 16:38:25,0,0.2881944444444444,864.0,1
arf,446625,451625,2009-05-29 17:41:07,0,0.3045550847457627,1888.0,1
arf,446945,451945,2009-05-29 17:46:17,1,0.42578125,256.0,1
arf,459905,464905,2009-05-29 20:39:56,0,0.32578812316715544,10912.0,1
arf,468673,473673,2009-05-29 22:50:21,0,0.3211309523809524,6720.0,1
arf,479233,484233,2009-05-30 01:39:15,0,0.28912124060150374,8512.0,1
arf,493953,498953,2009-05-30 05:34:03,0,0.38839285714285715,224.0,1
arf,494977,499977,2009-05-30 05:48:07,0,0.3307291666666667,768.0,1
arf,555169,560169,2009-05-30 19:18:53,0,0.33048076923076924,52000.0,1
arf,580417,585417,2009-05-31 00:52:02,0,0.31093986384266264,21152.0,1
arf,598145,603145,2009-05-31 05:16:53,1,0.3515625,512.0,1
arf,613185,618185,2009-05-31 08:40:53,1,0.3354371921182266,12992.0,1
arf,674145,679145,2009-06-01 00:37:59,0,0.32531079442086114,52768.0,1
arf,685153,690153,2009-06-01 03:17:26,0,0.36328125,512.0,1
arf,761249,766249,2009-06-01 19:36:42,0,0.3263016986706056,43328.0,1
arf,765633,770633,2009-06-01 20:36:29,1,0.3258426966292135,2848.0,1
arf,788385,793385,2009-06-02 01:32:54,0,0.32305960548885077,18656.0,1
arf,802593,807593,2009-06-02 04:51:45,1,0.31408227848101267,10112.0,1
arf,808801,813801,2009-06-02 06:10:10,1,0.375,384.0,1
arf,809665,814665,2009-06-02 06:28:15,1,0.4921875,128.0,1
arf,811553,816553,2009-06-02 06:59:09,0,0.39732142857142855,224.0,1
arf,812065,817065,2009-06-02 07:06:21,1,0.3125,448.0,1
arf,814273,819273,2009-06-02 07:59:59,0,0.2976190476190476,672.0,1
arf,814849,819849,2009-06-02 08:15:31,0,0.20703125,256.0,1
arf,815265,820265,2009-06-02 08:22:12,1,0.35511363636363635,352.0,1
arf,815585,820585,2009-06-02 08:33:10,0,0.2708333333333333,96.0,1
arf,816033,821033,2009-06-02 08:50:23,0,0.21875,256.0,1
arf,816449,821449,2009-06-02 09:01:20,0,0.14488636363636365,352.0,1
arf,816801,821801,2009-06-02 09:16:09,0,0.171875,192.0,1
arf,816961,821961,2009-06-02 09:21:03,1,0.2604166666666667,96.0,1
arf,817505,822505,2009-06-02 09:47:21,0,0.19886363636363635,352.0,1
arf,818081,823081,2009-06-02 10:18:55,1,0.0859375,512.0,1
arf,818401,823401,2009-06-02 10:25:13,0,0.2109375,128.0,1
arf,818529,823529,2009-06-02 10:33:33,1,0.2857142857142857,112.0,1
arf,818977,823977,2009-06-02 10:55:46,0,0.15,160.0,1
arf,819297,824297,2009-06-02 11:04:04,0,0.14732142857142858,224.0,1
arf,819617,824617,2009-06-02 11:13:59,0,0.16796875,256.0,1
arf,819713,824713,2009-06-02 11:17:55,1,0.484375,64.0,1
arf,820801,825801,2009-06-02 11:56:20,0,0.11875,160.0,1
arf,821217,826217,2009-06-02 12:07:32,0,0.19886363636363635,352.0,1
arf,821601,826601,2009-06-02 12:21:25,0,0.0,320.0,1
arf,821985,826985,2009-06-02 12:46:13,0,0.2760416666666667,192.0,1
arf,822241,827241,2009-06-02 12:55:45,1,0.4375,80.0,1
arf,822721,827721,2009-06-02 13:09:45,0,0.18303571428571427,224.0,1
arf,823329,828329,2009-06-02 13:33:18,0,0.27291666666666664,480.0,1
arf,825665,830665,2009-06-02 15:17:23,0,0.1701388888888889,288.0,1
arf,829537,834537,2009-06-02 18:35:16,0,0.2940051020408163,1568.0,1
arf,850625,855625,2009-06-03 01:04:35,0,0.3252118644067797,16992.0,1
arf,874785,879785,2009-06-03 06:32:36,0,0.3272029505582137,20064.0,1
arf,884833,889833,2009-06-03 09:40:54,0,0.22395833333333334,576.0,1
arf,885313,890313,2009-06-03 09:56:32,0,0.08238636363636363,352.0,1
arf,885825,890825,2009-06-03 10:14:44,0,0.34375,320.0,1
arf,886113,891113,2009-06-03 10:18:09,1,0.359375,256.0,1
arf,886977,891977,2009-06-03 10:43:39,0,0.15178571428571427,224.0,1
arf,887329,892329,2009-06-03 10:54:21,1,0.1597222222222222,288.0,1
arf,887425,892425,2009-06-03 10:57:18,0,0.3,80.0,1
arf,887969,892969,2009-06-04 08:59:30,0,0.1875,288.0,1
arf,888289,893289,2009-06-04 09:22:27,0,0.125,256.0,1
arf,889249,894249,2009-06-04 09:46:57,1,0.3229166666666667,96.0,1
arf,889473,894473,2009-06-04 10:08:36,0,0.2857142857142857,112.0,1
arf,889601,894601,2009-06-04 10:10:55,0,0.3125,112.0,1
arf,890081,895081,2009-06-04 10:44:53,0,0.12109375,256.0,1
arf,890337,895337,2009-06-04 10:53:58,0,0.08854166666666667,192.0,1
arf,890977,895977,2009-06-04 11:39:48,0,0.103125,320.0,1
arf,891425,896425,2009-06-04 12:31:58,0,0.1875,224.0,1
arf,891649,896649,2009-06-04 12:55:50,0,0.4,80.0,1
arf,891745,896745,2009-06-04 12:59:48,0,0.375,80.0,1
arf,893185,898185,2009-06-04 22:43:18,0,0.2663690476190476,672.0,1
arf,893313,898313,2009-06-04 22:46:11,1,0.24107142857142858,112.0,1
arf,894625,899625,2009-06-04 23:06:54,0,0.2935606060606061,1056.0,1
arf,894785,899785,2009-06-04 23:09:05,0,0.4375,128.0,1
arf,895233,900233,2009-06-04 23:18:39,1,0.2708333333333333,384.0,1
arf,895553,900553,2009-06-05 08:37:27,0,0.26953125,256.0,1
arf,896257,901257,2009-06-05 08:45:58,1,0.5104166666666666,96.0,1
arf,901281,906281,2009-06-05 09:57:56,0,0.2793560606060606,1056.0,1
arf,901409,906409,2009-06-05 10:01:36,1,0.325,80.0,1
arf,901921,906921,2009-06-05 10:14:06,1,0.4375,80.0,1
arf,904865,909865,2009-06-05 11:00:22,0,0.3010817307692308,1664.0,1
arf,905153,910153,2009-06-05 11:07:09,0,0.29296875,256.0,1
arf,909121,914121,2009-06-05 12:30:24,0,0.32628676470588236,2176.0,1
arf,910145,915145,2009-06-05 12:46:00,0,0.08333333333333333,192.0,1
arf,913121,918121,2009-06-05 13:43:13,0,0.30174180327868855,1952.0,1
arf,914657,919657,2009-06-05 14:07:08,0,0.13125,320.0,1
arf,917985,922985,2009-06-05 14:51:23,0,0.28515625,768.0,1
arf,941441,946441,2009-06-05 21:12:33,0,0.3222107438016529,19360.0,1
arf,943233,948233,2009-06-05 21:40:14,1,0.2828125,640.0,1
arf,956097,961097,2009-06-06 00:31:06,0,0.37890625,512.0,1
arf,963745,968745,2009-06-06 02:23:13,1,0.484375,128.0,1
