model,tweet_index,original_tweet_index,date,error,adwin_estimation,adwin_width,n_detections
logistic_regression,202592,207592,2009-05-10 05:03:36,0,0.33266793857169774,169824.0,1
logistic_regression,280000,285000,2009-05-17 11:20:53,0,0.3213990066225166,24160.0,1
logistic_regression,286496,291496,2009-05-17 18:35:47,0,0.2653186274509804,1632.0,1
logistic_regression,286912,291912,2009-05-17 20:12:29,1,0.25892857142857145,112.0,1
logistic_regression,287744,292744,2009-05-17 21:10:13,0,0.16666666666666666,576.0,1
logistic_regression,288096,293096,2009-05-17 21:28:59,1,0.2109375,128.0,1
logistic_regression,288704,293704,2009-05-17 22:04:57,0,0.19230769230769232,416.0,1
logistic_regression,328512,333512,2009-05-18 07:48:53,1,0.3114245951417004,31616.0,1
logistic_regression,365120,370120,2009-05-22 07:31:40,0,0.3124177631578947,24320.0,1
logistic_regression,401216,406216,2009-05-29 00:27:47,1,0.321495126146789,27904.0,1
logistic_regression,431552,436552,2009-05-29 13:54:21,1,0.32157012195121953,26240.0,1
logistic_regression,459552,464552,2009-05-29 20:35:20,1,0.31451023391812866,5472.0,1
logistic_regression,480032,485032,2009-05-30 01:51:17,0,0.32208251953125,16384.0,1
logistic_regression,498880,503880,2009-05-30 06:40:35,0,0.2939880952380952,16800.0,1
logistic_regression,557504,562504,2009-05-30 19:50:52,0,0.336353902284264,50432.0,1
logistic_regression,580192,585192,2009-05-31 00:49:01,0,0.3154723650385604,12448.0,1
logistic_regression,605792,610792,2009-05-31 07:01:46,1,0.29943266369047616,21504.0,1
logistic_regression,677120,682120,2009-06-01 01:20:13,0,0.33587810440952864,63136.0,1
logistic_regression,787424,792424,2009-06-02 01:19:35,0,0.32563438170121517,44768.0,1
logistic_regression,942528,947528,2009-06-05 21:28:45,1,0.31894273127753303,36320.0,1
logistic_regression,984384,989384,2009-06-06 07:12:34,1,0.31319444444444444,17280.0,1
logistic_regression,1068160,1073160,2009-06-07 00:34:03,0,0.3334594430992736,26432.0,1
logistic_regression,1100288,1105288,2009-06-07 07:59:14,1,0.309396404109589,28032.0,1
logistic_regression,1277408,1282408,2009-06-15 23:24:12,1,0.3322087674573265,144352.0,1
logistic_regression,1320416,1325416,2009-06-16 09:03:07,0,0.32464599609375,16384.0,1
logistic_regression,1321888,1326888,2009-06-16 09:46:53,0,0.06578947368421052,1216.0,1
